"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"SPOLLI","0.3833333333","21","6.1666666667","Genoa","D","6.5","3.4078947368","5","6","1","",""
"LAURINI","0.3376623377","22","5.8636363636","Fiorentina","D","6","3.3947368421","2","3","1","",""
"EYSSERIC","1.0476190476","21","6.119047619","Fiorentina","C","6","3.3815789474","9","8","1","",""
"BENNACER","NA","21","NA","NA","C","NA","3.371787860188514","6","6","1","",""
"CIOFANI D","NA","21","NA","NA","A","NA","3.371787860188514","5","6","1","",""
"GAGLIOLO","NA","21","NA","NA","D","NA","3.371787860188514","7","6","1","",""
"PROVEDEL","NA","21","NA","NA","P","NA","3.371787860188514","5","6","1","",""
"UCAN","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"VIEIRA","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"VLOET","NA","21","NA","NA","C","NA","3.371787860188514","5","6","1","",""
"FLOCCARI","3.5947368421","20","6.4","SPAL","A","6","3.3684210526","4","5","1","",""
"JUAN JESUS","0.4464285714","22","5.75","Roma","D","6","3.3289473684","6","7","1","",""
"LAZOVIC","0.2369047619","21","6.0238095238","Genoa","C","6","3.3289473684","5","5","1","",""
"PERICA","0.8988095238","22","5.75","Udinese","A","5.5","3.3289473684","10","12","1","",""
"SALAMON","0.3982683983","22","5.7272727273","SPAL","D","6","3.3157894737","4","4","1","",""
"LOCATELLI M","0.0976190476","21","5.9523809524","Milan","C","6","3.2894736842","7","7","1","",""
"BEHRAMI","1.0125","20","6.225","Udinese","C","6","3.2763157895","5","4","1","",""
"GONZALEZ G","0.6174242424","22","5.6136363636","Bologna","D","5.5","3.25","6","6","1","",""
"BRIGNOLA","2.3897058824","18","6.75","Benevento","A","6.5","3.1973684211","8","9","1","",""
"CASTAGNE","0.4861842105","20","6.025","Atalanta","D","6","3.1710526316","7","6","1","",""
"PARIGINI","0.1904761905","21","5.7380952381","Benevento","A","6","3.1710526316","6","7","1","",""
"KEAN","5.1725146199","19","6.3157894737","Verona","A","5.5","3.1578947368","6","7","1","",""
"BALIC","0.2619047619","21","5.6904761905","Udinese","C","6","3.1447368421","2","3","1","",""
"GOMIS A","2.8538461538","26","4.5769230769","SPAL","P","4.5","3.1315789474","4","1","1","",""
