"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"179","DABO",2.1777777778,10,"Fiorentina","C",6,1.6315789474,7,7,NA,"",NA,"M",6.19230769230769
"180","DALBERT",0.1923076923,13,"Inter","D",6,1.9605263158,3,3,NA,"",NA,"Ds",5.6875
"181","DALBERT",0.1923076923,13,"Inter","D",6,1.9605263158,3,3,NA,"",NA,"E",5.6875
"182","DALMONTE",NA,1,NA,"A",NA,0,1,1,NA,"",NA,"A",6
"183","DANILO",0.7134576613,32,"Udinese","D",6,4.9342105263,9,8,NA,"",NA,"Dc",5.87837837837838
"184","DE MAIO",1.3784615385,26,"Bologna","D",5.75,4.1315789474,6,7,NA,"",NA,"Dc",6.01724137931035
"185","DE PAUL",2.5664414414,37,"Udinese","C",6,6.2763157895,16,15,NA,"",NA,"T",6.78571428571429
"186","DE PAUL",2.5664414414,37,"Udinese","C",6,6.2763157895,16,15,NA,"",NA,"W",6.78571428571429
"187","DE ROON",1.4048573975,34,"Atalanta","C",6,5.5131578947,8,8,NA,"",NA,"M",6.11538461538461
"188","DE ROON",1.4048573975,34,"Atalanta","C",6,5.5131578947,8,8,NA,"",NA,"C",6.11538461538461
"189","DE ROSSI",1.2056277056,22,"Roma","C",6,3.5263157895,8,8,NA,"BRYAN",15,"M",6.07407407407407
"190","DE ROSSI",1.2056277056,22,"Roma","C",6,3.5263157895,8,8,NA,"BRYAN",15,"C",6.07407407407407
"191","DE SCIGLIO",1.196969697,12,"Juventus","D",6.5,2.1052631579,6,7,NA,"ME",3,"E",6.66666666666667
"192","DE SCIGLIO",1.196969697,12,"Juventus","D",6.5,2.1052631579,6,7,NA,"ME",3,"Ds",6.66666666666667
"193","DE SCIGLIO",1.196969697,12,"Juventus","D",6.5,2.1052631579,6,7,NA,"ME",3,"Dd",6.66666666666667
"194","DE SILVESTRI",2.2785714286,35,"Torino","D",6,6.0131578947,14,14,NA,"ME",10,"E",6.46153846153846
"195","DE SILVESTRI",2.2785714286,35,"Torino","D",6,6.0131578947,14,14,NA,"ME",10,"Dd",6.46153846153846
