"Squadra","Avversario","Day","SquadraCasa"
"Lazio","Crotone",38,0
"Crotone","Lazio",38,1
"Milan","Atalanta",38,0
"Atalanta","Milan",38,1
"Napoli","Sampdoria",38,0
"Sampdoria","Napoli",38,1
"Sassuolo","Inter",38,0
"Inter","Sassuolo",38,1
"Spal","Torino",38,0
"Torino","Spal",38,1
"Udinese","Verona",38,0
"Verona","Udinese",38,1
