"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","Year","FantasyEvaluation","Delta"
"92.0","A","MATOS","6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21","2016-17","6.0",""
"92.0","A","MATOS","6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23","2016-17","6.0",""
"92.0","A","MATOS","5.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24","2016-17","5.54",""
"92.0","A","MATOS","6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25","2016-17","6.0",""
"92.0","A","MATOS","5.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26","2016-17","5.53",""
"92.0","A","MATOS","6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27","2016-17","6.0",""
"92.0","A","MATOS","6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30","2016-17","6.0",""
"92.0","A","MATOS","5.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32","2016-17","5.54",""
"92.0","A","MATOS","5.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34","2016-17","5.54",""
"92.0","A","MATOS","6.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37","2016-17","6.53",""
"92.0","A","MATOS","6.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38","2016-17","6.02",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1","2016-17","5.0",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1","2016-17","5.0",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1","2016-17","5.0",""
"90.0","A","LASAGNA","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","5.5",""
"90.0","A","LASAGNA","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","5.5",""
"90.0","A","LASAGNA","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","5.5",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","2016-17","5.0",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","2016-17","5.0",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","2016-17","5.0",""
"90.0","A","LASAGNA","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","2016-17","5.0",""
"90.0","A","LASAGNA","7.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","2016-17","10.0",""
"827.0","C","LOCATELLI M","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","6.0",""
"827.0","C","LOCATELLI M","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","6.0",""
"827.0","C","LOCATELLI M","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2","2016-17","6.0",""
"827.0","C","LOCATELLI M","6.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3","2016-17","6.5",""
"827.0","C","LOCATELLI M","6.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3","2016-17","6.5",""
"827.0","C","LOCATELLI M","6.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3","2016-17","6.5",""
"827.0","C","LOCATELLI M","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","2016-17","5.5",""
"827.0","C","LOCATELLI M","6.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","2016-17","6.03",""
"827.0","C","LOCATELLI M","6.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","2016-17","6.5",""
